Case_Number,Processing_Time,Syntax_Error
0,6.043834447860718,No Syntax Error
1,Over,Pause
2,3.70717716217041,No Syntax Error
3,4.052138566970825,No Syntax Error
4,8.362673044204712,Syntax Error
5,5.1996684074401855,No Syntax Error
6,5.346010446548462,Syntax Error
7,12.387020587921143,Syntax Error
8,15.99543809890747,No Syntax Error
9,9.662746667861938,No Syntax Error
10,0.35619497299194336,Syntax Error
11,2.309170961380005,Syntax Error
12,10.477317094802856,Syntax Error
13,0.830913782119751,Syntax Error
14,0.22768068313598633,Syntax Error
15,Over,Pause
16,22.43851399421692,Syntax Error
17,3.972935914993286,No Syntax Error
18,9.900217294692993,No Syntax Error
19,4.760380506515503,Syntax Error
20,21.38601040840149,Syntax Error
21,19.628946542739868,Syntax Error
22,2.5417885780334473,No Syntax Error
23,10.150853633880615,Syntax Error
24,10.210456848144531,Syntax Error
25,40.58711767196655,Syntax Error
26,0.8426978588104248,Syntax Error
27,51.93668222427368,Syntax Error
28,6.31927227973938,No Syntax Error
29,13.531381130218506,No Syntax Error
30,10.078804731369019,Syntax Error
31,Over,Pause
32,0.6012868881225586,Syntax Error
33,4.457156658172607,No Syntax Error
34,14.820757865905762,Syntax Error
35,8.38652515411377,No Syntax Error
36,6.649511337280273,No Syntax Error
37,6.926098346710205,No Syntax Error
38,6.950312852859497,Syntax Error
39,3.0536041259765625,No Syntax Error
40,4.7401909828186035,No Syntax Error
41,13.626253128051758,No Syntax Error
42,9.514991044998169,Syntax Error
43,2.573334217071533,Syntax Error
44,2.8865928649902344,Syntax Error
45,14.805976152420044,Syntax Error
46,9.763230800628662,Syntax Error
47,5.313954591751099,Syntax Error
48,2.054307222366333,No Syntax Error
49,17.555192947387695,Syntax Error
50,12.232475280761719,No Syntax Error
51,12.225146770477295,Syntax Error
52,8.899619817733765,Syntax Error
53,17.388751745224,Syntax Error
54,0.8454279899597168,Syntax Error
55,8.200008153915405,No Syntax Error
56,10.028695106506348,Syntax Error
57,12.550402641296387,No Syntax Error
58,9.038798332214355,No Syntax Error
59,7.077438831329346,Syntax Error
60,2.994840383529663,Syntax Error
61,12.690145254135132,No Syntax Error
62,28.5880389213562,Syntax Error
63,6.673522710800171,No Syntax Error
64,9.414621353149414,No Syntax Error
65,6.279447317123413,Syntax Error
66,5.229574203491211,No Syntax Error
67,Over,Pause
68,4.299549579620361,Syntax Error
69,15.840011835098267,No Syntax Error
70,15.005352973937988,Syntax Error
71,22.260249137878418,Syntax Error
72,6.840300559997559,Syntax Error
73,17.120509386062622,Syntax Error
74,6.267373323440552,No Syntax Error
75,3.75197172164917,No Syntax Error
76,21.70891499519348,Syntax Error
77,7.364330053329468,Syntax Error
78,13.188465356826782,No Syntax Error
79,10.315892696380615,No Syntax Error
80,2.1123929023742676,No Syntax Error
81,9.167416334152222,Syntax Error
82,7.573774337768555,No Syntax Error
83,7.375316619873047,No Syntax Error
84,45.364736795425415,Syntax Error
85,1.7114782333374023,Syntax Error
86,16.44065237045288,Syntax Error
87,13.245657205581665,No Syntax Error
88,10.18170690536499,No Syntax Error
89,9.506031274795532,Syntax Error
90,Over,Pause
91,9.567541122436523,No Syntax Error
92,7.5855419635772705,Syntax Error
93,8.050140857696533,No Syntax Error
94,5.61489200592041,Syntax Error
95,13.479128122329712,Syntax Error
96,8.763283967971802,Syntax Error
97,6.366813898086548,No Syntax Error
98,57.764930725097656,Syntax Error
99,10.824973344802856,Syntax Error
100,9.924922704696655,Syntax Error
101,4.748476505279541,Syntax Error
102,0.8278803825378418,Syntax Error
103,6.600827217102051,Syntax Error
104,0.43116068840026855,Syntax Error
105,8.576538324356079,Syntax Error
106,13.250160932540894,No Syntax Error
107,6.374869108200073,No Syntax Error
108,11.245651721954346,Syntax Error
109,10.088563203811646,Syntax Error
110,5.4925007820129395,Syntax Error
111,4.036307096481323,No Syntax Error
112,15.918899536132812,No Syntax Error
113,31.0800838470459,Syntax Error
114,10.132850170135498,Syntax Error
115,7.996499300003052,Syntax Error
116,54.638893842697144,Syntax Error
117,31.64715552330017,Syntax Error
118,4.242249488830566,No Syntax Error
119,8.764994382858276,Syntax Error
120,32.968544244766235,Syntax Error
121,16.134071826934814,Syntax Error
122,14.553134441375732,No Syntax Error
123,0.8866238594055176,Syntax Error
124,0.23061084747314453,Syntax Error
125,22.14907431602478,No Syntax Error
126,0.3535943031311035,Syntax Error
127,5.316139459609985,Syntax Error
128,9.837376117706299,No Syntax Error
129,10.506821155548096,Syntax Error
130,27.42911386489868,Syntax Error
131,Over,Pause
132,8.154800176620483,Syntax Error
133,5.568957805633545,No Syntax Error
134,Over,Pause
135,8.763261318206787,No Syntax Error
136,5.661394119262695,Syntax Error
137,22.436676740646362,Syntax Error
138,5.393433570861816,Syntax Error
139,1.9265351295471191,No Syntax Error
140,9.045822381973267,Syntax Error
141,7.909011363983154,No Syntax Error
142,4.686791658401489,No Syntax Error
143,10.212164163589478,Syntax Error
144,12.913595914840698,Syntax Error
145,2.6266651153564453,Syntax Error
146,8.01005744934082,No Syntax Error
147,13.422535181045532,Syntax Error
148,5.696077585220337,Syntax Error
149,9.277156114578247,Syntax Error
150,13.411678314208984,Syntax Error
151,15.727484703063965,No Syntax Error
152,7.136690855026245,No Syntax Error
153,0.2892012596130371,Syntax Error
154,18.451740503311157,No Syntax Error
155,7.913536310195923,Syntax Error
156,0.3828003406524658,Syntax Error
157,9.464532375335693,Syntax Error
158,Over,Pause
159,7.729749441146851,Syntax Error
160,19.15481948852539,Syntax Error
161,2.059835433959961,Syntax Error
162,8.345420598983765,Syntax Error
163,6.819362640380859,No Syntax Error
164,14.426715850830078,Syntax Error
165,8.344265937805176,Syntax Error
166,12.292668104171753,No Syntax Error
167,13.95380687713623,Syntax Error
168,9.758982419967651,Syntax Error
169,8.292331457138062,Syntax Error
170,7.820680379867554,No Syntax Error
171,38.258716344833374,No Syntax Error
172,7.226248502731323,Syntax Error
173,18.74612784385681,No Syntax Error
174,1.993070125579834,No Syntax Error
175,18.240307092666626,No Syntax Error
176,7.065268039703369,Syntax Error
177,1.9667911529541016,No Syntax Error
178,2.804255247116089,No Syntax Error
